"dateTime","r0_1","Cn2","residual_Kolmo","r0Kalman","L0Kalman","residual_Kalman","r0power","r0expo","residual_power","r0max","r0min","Cn2max","Cn2min","r0noTT.0.","Cn2noTT","r0noTT.1.","residual_KolmonoTT","imamax","npixsat","offsets.0.","offsets.1.","flagdata","sensor","location"
2022-08-18 18:50:00,1.47983,7.8236e-14,0.00045,1.38483,5.0625,0.00044,1.48867,1.65208,0.00044,1.40725,1.54545,8.5076e-14,7.2779e-14,1.78602,1.13621,5.7186e-14,0.00011,59689.456,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 18:55:00,1.14487,1.2e-13,0.00106,1.06675,4.53906,0.00105,1.14737,1.65167,0.00105,1.08739,1.23508,1.3075e-13,1.0575e-13,1.20676,0.82052,1.0992e-13,0.00018,61713.708,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 19:00:00,6.61121,6.456e-15,0.00018,5.33366,54.89648,0.00018,6.63499,1.60417,0.00018,3.77005,5.87656,1.6463e-14,7.8564e-15,8.13609,4.76994,4.5681e-15,5e-05,61586.05,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 19:05:00,3.45126,1.9075e-14,0.00027,3.18,13.01562,0.00027,3.46127,1.64417,0.00027,2.62801,3.60626,3.0041e-14,1.7728e-14,4.27372,2.49398,1.3358e-14,7e-05,61357.724,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 19:10:00,0.80708,2.149e-13,0.00324,0.69432,6.41583,0.00314,0.6963,1.67431,0.00315,0.71318,0.93293,2.641e-13,1.6879e-13,0.92408,0.66346,1.7149e-13,0.00039,61067.22,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 19:15:00,0.94716,1.6458e-13,0.00131,0.89486,3.36865,0.0013,0.96091,1.65417,0.00131,0.84565,1.04401,1.9881e-13,1.3993e-13,0.78851,0.57453,2.234e-13,0.00043,61169.448,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 19:20:00,1.1115,1.2606e-13,0.00195,0.97307,7.32422,0.00189,1.14018,1.61214,0.00189,1.01281,1.31678,1.4719e-13,9.504e-14,1.17723,0.8035,1.1455e-13,0.00019,61201.896,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 19:25:00,2.42704,3.4301e-14,0.00036,2.27203,7.9375,0.00036,2.43704,1.65042,0.00036,1.94732,2.59535,4.9511e-14,3.0674e-14,2.96694,1.77489,2.4542e-14,7e-05,61013.826,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 19:30:00,0.85964,1.9345e-13,0.00234,0.79026,4,0.00233,0.88088,1.63404,0.00233,0.70813,0.96238,2.6725e-13,1.6027e-13,0.76111,0.55783,2.3697e-13,0.00041,61247.274,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 19:35:00,0.97769,1.5611e-13,0.00207,0.85519,6.84375,0.00199,0.97704,1.61992,0.00199,0.80172,1.13232,2.173e-13,1.2222e-13,1.14688,0.78695,1.1965e-13,0.00019,59900.918,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 19:40:00,2.79338,2.7136e-14,0.00019,2.68432,5.51953,0.00019,2.80338,1.66167,0.00019,2.47711,2.74728,3.3153e-14,2.7899e-14,3.41696,2.05938,1.9395e-14,9e-05,59442.308,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 19:45:00,2.7095,2.855e-14,0.00033,2.5166,9.8877,0.00033,2.72169,1.64604,0.00033,2.20366,2.90401,4.0289e-14,2.5435e-14,3.31716,1.98436,2.0378e-14,7e-05,62417.198,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 19:50:00,0.817,2.1057e-13,0.00269,0.732,5.0625,0.00266,0.84075,1.62417,0.00266,0.69569,0.97318,2.7525e-13,1.5732e-13,0.74615,0.54914,2.4493e-13,0.00043,61113.766,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 19:55:00,1.05144,1.3829e-13,0.00146,0.97644,3.9375,0.00146,1.06362,1.64604,0.00147,0.99882,1.12705,1.5064e-13,1.2317e-13,1.2156,0.86683,1.0859e-13,0.00044,61266.526,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 20:00:00,0.60335,3.4899e-13,0.00359,0.54476,3.6543,0.00355,0.5696,1.6662,0.00356,0.52161,0.70026,4.4482e-13,2.7227e-13,0.60213,0.45873,3.5017e-13,0.00067,60823.412,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 20:05:00,0.71272,2.6438e-13,0.00366,0.63116,4.05078,0.00361,0.64179,1.67358,0.00362,0.58219,0.79908,3.7038e-13,2.185e-13,0.62505,0.47297,3.2903e-13,0.00059,60707.272,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 20:10:00,0.97812,1.5599e-13,0.00222,0.85562,6.84375,0.00215,0.99263,1.61398,0.00215,0.80005,1.10171,2.1806e-13,1.2793e-13,1.14644,0.79083,1.1972e-13,0.00024,61509.808,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 20:15:00,0.55736,3.9829e-13,0.00485,0.49236,3.6875,0.00476,0.50506,1.67414,0.00477,0.52904,0.64095,4.3445e-13,3.1554e-13,0.56405,0.43414,3.9045e-13,7e-04,60654.376,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 20:20:00,6.93782,5.9574e-15,0.00014,5.84161,47.7207,0.00014,6.9566,1.61917,0.00014,4.14795,6.46238,1.404e-14,6.7057e-15,8.56479,4.98974,4.1934e-15,5e-05,60539.87,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 20:25:00,1.29902,9.7216e-14,0.00224,1.04251,11.64014,0.00214,1.33175,1.58277,0.00214,0.92077,1.49236,1.7252e-13,7.7145e-14,1.54388,1.01759,7.2902e-14,0.00018,61492.912,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 20:30:00,0.85969,1.9343e-13,0.0015,0.78719,4.1875,0.00147,0.87469,1.64042,0.00148,0.84743,0.91413,1.9812e-13,1.7462e-13,0.99313,0.70141,1.5208e-13,3e-04,61113.678,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 20:35:00,2.01945,4.6599e-14,0.00055,1.84222,9.15674,0.00055,2.03704,1.63796,0.00055,1.74161,2.15966,5.9637e-14,4.1666e-14,2.44872,1.51896,3.3796e-14,9e-05,61545.392,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 20:40:00,1.40354,8.5452e-14,0.00102,1.27605,6.46875,0.00101,1.42011,1.6348,0.00101,1.33926,1.38795,9.2397e-14,8.7057e-14,1.23255,0.8369,1.0611e-13,0.00025,61164.06,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 20:45:00,0.9775,1.5616e-13,0.00318,0.815,7.78125,0.00309,1.01438,1.58543,0.00309,0.7446,1.16551,2.4578e-13,1.1648e-13,0.97646,0.68767,1.5644e-13,0.00029,60429.152,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 20:50:00,0.15999,3.1885e-12,0.24167,0.07864,4.54724,0.20946,0.07953,1.67575,0.20896,0.07148,0.13752,1.2212e-11,4.1037e-12,0.45657,0.36544,5.5537e-13,0.00107,53347.536,0,10,-4,0,"cyclone-hx9","1"
2022-08-18 20:55:00,0.28577,1.2126e-12,0.03193,0.21827,4,0.03016,0.22077,1.67729,0.0301,0.19808,0.33608,2.2337e-12,9.2547e-13,0.38484,0.31646,7.3839e-13,0.00106,56329.034,0,-31,17,0,"cyclone-hx9","1"
2022-08-18 21:00:00,1.04822,1.39e-13,0.00206,0.94283,6.04395,0.00205,1.07619,1.62386,0.00205,0.86506,1.03799,1.9143e-13,1.4129e-13,0.76435,0.55957,2.3529e-13,0.00042,62646.73,0,-27,12,0,"cyclone-hx9","1"
2022-08-18 21:05:00,0.59565,3.5654e-13,0.00321,0.36731,0.15558,0.00295,1.58202,1.32417,0.00299,0.5707,0.6204,3.829e-13,3.3316e-13,0.37613,0.31004,7.6712e-13,0.00142,60553.822,0,-27,12,0,"cyclone-hx9","1"
2022-08-18 21:10:00,1.02908,1.4333e-13,0.00071,0.79054,0.32875,0.00052,3.64764,1.30248,0.00052,1.01422,1.05672,1.4685e-13,1.3714e-13,0.74442,0.54856,2.4589e-13,0.00035,56727.868,0,-27,13,0,"cyclone-hx9","1"
2022-08-18 21:15:00,0.71943,2.6029e-13,0.00156,0.49738,0.21789,0.00128,2.00233,1.33429,0.0013,0.66221,0.75585,2.9884e-13,2.3972e-13,0.49454,0.38959,4.8614e-13,0.00078,55613.656,0,10,-7,0,"cyclone-hx9","1"
2022-08-18 21:20:00,0.48966,4.9425e-13,0.00248,0.33163,0.20691,0.0018,1.51193,1.27735,0.00183,0.51194,0.50561,4.5892e-13,4.6854e-13,0.33939,0.28446,9.1048e-13,0.00126,59009.418,0,-28,13,0,"cyclone-hx9","1"
2022-08-18 21:25:00,0.51469,4.5484e-13,0.00415,0.27435,0.10022,0.00361,2.05959,1.21455,0.00366,0.50675,0.51302,4.6677e-13,4.5731e-13,0.30252,0.25864,1.1028e-12,0.0021,61362.528,0,-28,13,0,"cyclone-hx9","1"
2022-08-18 21:30:00,0.53492,4.2653e-13,0.00353,0.38935,0.33222,0.00337,1.34243,1.32893,0.00339,0.5206,0.53341,4.4626e-13,4.2855e-13,0.37106,0.30536,7.8466e-13,0.0014,58676.482,0,-28,13,0,"cyclone-hx9","1"
2022-08-18 21:35:00,1.16924,1.1586e-13,9e-04,1.09424,3.9375,0.00091,1.19478,1.64589,0.00091,1.11545,1.13032,1.2532e-13,1.2258e-13,0.86031,0.61772,1.932e-13,3e-04,55722.92,0,9,-6,0,"cyclone-hx9","1"
2022-08-18 21:40:00,0.50844,4.642e-13,0.00256,0.34974,0.22199,0.00205,1.47688,1.29692,0.00208,0.51555,0.52351,4.5357e-13,4.4213e-13,0.35914,0.29818,8.2855e-13,0.00141,56925.888,0,-29,14,0,"cyclone-hx9","1"
2022-08-18 21:45:00,0.94028,1.666e-13,9e-04,0.70674,0.31808,0.00075,2.54547,1.35808,0.00075,0.87969,0.97963,1.8616e-13,1.5559e-13,0.66026,0.49616,3.0031e-13,0.00046,59809.732,0,-29,14,0,"cyclone-hx9","1"
2022-08-18 21:50:00,0.93528,1.6808e-13,0.00215,0.86778,3.6875,0.00215,0.95278,1.64167,0.00216,0.81296,0.98548,2.1232e-13,1.5406e-13,0.65023,0.48888,3.0807e-13,0.00058,59094.718,0,-29,14,0,"cyclone-hx9","1"
2022-08-18 21:55:00,0.32559,9.7571e-13,0.04442,0.2051,6.73016,0.03994,0.20667,1.67651,0.0399,0.19934,0.3503,2.2102e-12,8.637e-13,0.71881,0.5318,2.6066e-13,5e-04,56303.128,0,6,-3,0,"cyclone-hx9","1"
2022-08-18 22:00:00,0.84307,1.9983e-13,0.00217,0.61289,0.35122,0.00212,1.60018,1.43219,0.00213,0.76362,0.92024,2.3567e-13,1.7269e-13,0.57756,0.44329,3.7534e-13,0.00073,55173.062,0,-32,17,0,"cyclone-hx9","1"
2022-08-18 22:05:00,1.93006,5.0251e-14,0.00037,1.60168,0.54948,0.00035,1.94506,1.67417,0.00036,1.64425,2.03268,6.5637e-14,4.6094e-14,1.54572,1.01048,7.2758e-14,1e-04,55079.738,0,4,40,0,"cyclone-hx9","1"
2022-08-18 22:10:00,1.09678,1.2889e-13,0.00136,0.78418,0.31159,0.00132,2.67738,1.38071,0.00132,0.90075,1.1742,1.7896e-13,1.1504e-13,0.80162,0.58532,2.1735e-13,0.00044,53598.392,0,-33,18,0,"cyclone-hx9","1"
2022-08-18 22:15:00,0.76129,2.3687e-13,0.00272,0.54256,0.28444,0.00263,1.90959,1.35346,0.00264,0.71217,0.82035,2.6472e-13,2.0914e-13,0.51538,0.40513,4.5383e-13,0.00093,58860.404,0,-33,18,0,"cyclone-hx9","1"
2022-08-18 22:20:00,0.62309,3.3076e-13,0.00232,0.43683,0.22599,0.00202,1.88011,1.30626,0.00202,0.59792,0.65802,3.5429e-13,3.0202e-13,0.42152,0.34122,6.3445e-13,0.001,57551.146,0,-33,18,0,"cyclone-hx9","1"
2022-08-18 22:25:00,0.67774,2.8751e-13,0.003,0.62774,3.125,0.003,0.65149,1.66964,0.00302,0.597,0.743,3.552e-13,2.4667e-13,0.53033,0.41353,4.3269e-13,0.00076,51368.87,0,-34,18,0,"cyclone-hx9","1"
2022-08-18 22:30:00,0.46466,5.3935e-13,0.00774,0.23753,0.1007,0.0074,1.71658,1.20518,0.00745,0.4124,0.48431,6.5801e-13,5.0336e-13,0.23581,0.21002,1.6704e-12,0.00341,53197.02,0,-34,18,0,"cyclone-hx9","1"
2022-08-18 22:35:00,1.11584,1.2524e-13,0.001,0.62962,0.10538,0.00078,9.76986,1.13059,0.00078,1.03486,1.14775,1.42e-13,1.1949e-13,0.67903,0.50755,2.8661e-13,0.00055,56412.902,0,-34,19,0,"cyclone-hx9","1"
2022-08-18 22:40:00,0.45022,5.6849e-13,0.00539,0.30547,0.22975,0.0051,1.32321,1.27259,0.00511,0.4307,0.48027,6.1207e-13,5.1044e-13,0.30413,0.25908,1.0931e-12,0.00189,55747.08,0,3,-1,0,"cyclone-hx9","1"
2022-08-18 22:45:00,0.64811,3.0975e-13,0.00165,0.45096,0.2215,0.00123,2.27757,1.27078,0.00124,0.63279,0.65717,3.2235e-13,3.0266e-13,0.44635,0.35782,5.7672e-13,0.00086,56601.354,0,-35,19,0,"cyclone-hx9","1"
2022-08-18 22:50:00,0.88067,1.8581e-13,0.00173,0.52122,0.12898,0.00155,3.47505,1.26485,0.00155,0.84019,0.92495,2.0097e-13,1.7123e-13,0.54417,0.42165,4.1451e-13,0.00079,59199.728,0,-35,19,0,"cyclone-hx9","1"
2022-08-18 22:55:00,0.60413,3.4824e-13,0.00193,0.43625,0.26581,0.00159,1.75921,1.3114,0.0016,0.60295,0.59583,3.4937e-13,3.5636e-13,0.4351,0.35099,6.018e-13,0.00105,57307.064,0,-35,19,0,"cyclone-hx9","1"
