"dateTime","r0_1","Cn2","residual_Kolmo","r0Kalman","L0Kalman","residual_Kalman","r0power","r0expo","residual_power","r0max","r0min","Cn2max","Cn2min","r0noTT.0.","Cn2noTT","r0noTT.1.","residual_KolmonoTT","imamax","npixsat","offsets.0.","offsets.1.","flagdata"
2022-08-31 16:45:00,1.41738,8.4065e-14,0.00347,0.93673,21.07031,0.00313,1.45373,1.5141,0.00315,0.89322,1.54426,1.8148e-13,7.2872e-14,4.57407,2.56737,1.1929e-14,6e-05,52551.796,0,0,1,0
2022-08-31 16:50:00,1.40643,8.5159e-14,0.00583,0.73541,29.0719,0.00507,1.48444,1.42253,0.00513,0.7018,1.36196,2.7127e-13,8.9844e-14,5.0315,2.77561,1.0177e-14,6e-05,52285.55,0,0,1,0
2022-08-31 16:55:00,1.68833,6.2806e-14,0.00355,0.96099,31.92432,0.00314,1.74546,1.47154,0.00317,0.90872,1.69473,1.7635e-13,6.2411e-14,3.84576,2.19814,1.5927e-14,6e-05,52080.83,0,0,1,0
2022-08-31 17:00:00,1.12754,1.2309e-13,0.00723,0.64692,21.07031,0.00639,1.20458,1.42952,0.00643,0.60907,1.17074,3.4354e-13,1.1561e-13,2.68291,1.6066,2.9024e-14,7e-05,51728.148,0,0,1,0
2022-08-31 17:05:00,1.70342,6.1881e-14,0.00414,0.90065,35.56641,0.00361,1.78109,1.44576,0.00366,0.84952,1.59864,1.9731e-13,6.8788e-14,4.53228,2.53834,1.2113e-14,6e-05,51319.326,0,0,1,0
2022-08-31 17:10:00,1.74597,5.9389e-14,0.0036,0.97419,33.96622,0.00316,1.81889,1.45338,0.00319,0.91198,1.65489,1.753e-13,6.4935e-14,6.50481,3.53289,6.6329e-15,6e-05,51236.136,0,0,1,0
2022-08-31 17:15:00,1.09623,1.29e-13,0.00745,0.61561,21.07031,0.00656,1.17052,1.43842,0.00663,0.59964,1.17883,3.5259e-13,1.1429e-13,3.37111,1.9599,1.9837e-14,6e-05,51699.578,0,0,1,0
2022-08-31 17:20:00,1.8329,5.4769e-14,0.00279,1.10553,31.92432,0.00249,1.86932,1.49098,0.0025,1.03555,1.81674,1.4184e-13,5.5583e-14,5.16377,2.8496,9.7458e-15,6e-05,52113.076,0,0,1,0
2022-08-31 17:25:00,1.70015,6.208e-14,0.00336,1.00685,29.84628,0.00298,1.76341,1.47201,0.003,0.94036,1.6869,1.6657e-13,6.2895e-14,6.17125,3.36074,7.2411e-15,5e-05,52020.752,0,0,1,0
2022-08-31 17:30:00,1.91801,5.0778e-14,0.00288,1.11524,35.56641,0.00254,1.98123,1.46998,0.00256,1.03192,1.97544,1.4268e-13,4.8342e-14,6.03033,3.27893,7.5254e-15,5e-05,51739.294,0,0,1,0
2022-08-31 17:35:00,1.03498,1.4197e-13,0.00407,0.78201,11.58398,0.00375,1.07869,1.54317,0.00376,0.76511,1.23055,2.349e-13,1.064e-13,5.5965,3.0577,8.5225e-15,5e-05,51850.746,0,0,1,0
2022-08-31 17:40:00,1.4784,7.8362e-14,0.00349,0.9601,22.89136,0.00314,1.52155,1.5038,0.00315,0.90221,1.64846,1.7848e-13,6.5358e-14,6.32076,3.42962,6.9579e-15,5e-05,51871.232,0,0,1,0
2022-08-31 17:45:00,1.28898,9.8481e-14,0.0055,0.74317,24.74854,0.00485,1.3782,1.42639,0.00487,0.7135,1.33821,2.639e-13,9.2517e-14,5.7129,3.13013,8.2351e-15,6e-05,52219.956,0,0,1,0
2022-08-31 17:50:00,1.20583,1.1006e-13,0.00634,0.69153,23.02576,0.00558,1.28634,1.43851,0.00563,0.65994,1.24596,3.0055e-13,1.0421e-13,5.14539,2.82472,9.8039e-15,6e-05,52516.476,0,0,1,0
2022-08-31 17:55:00,1.25472,1.03e-13,0.0058,0.7235,23.94505,0.00515,1.33174,1.44663,0.00519,0.68702,1.33773,2.8107e-13,9.2573e-14,2.35152,1.43343,3.6156e-14,8e-05,52518.464,0,0,1,0
2022-08-31 18:00:00,2.22541,3.9635e-14,0.00233,1.25586,40.8707,0.00205,2.2787,1.47701,0.00207,1.16395,2.09936,1.1674e-13,4.368e-14,6.65383,3.5939,6.3872e-15,5e-05,53201.268,0,0,1,0
2022-08-31 18:05:00,1.14792,1.1947e-13,0.00809,0.60771,24.09658,0.00704,1.21781,1.41417,0.00712,0.58197,1.11945,3.7062e-13,1.2457e-13,6.59183,3.72962,6.4876e-15,6e-05,54415.04,0,0,1,0
2022-08-31 18:10:00,1.4981,7.6653e-14,0.00404,0.89059,26.1489,0.00358,1.56132,1.46998,0.0036,0.84611,1.57596,1.9863e-13,7.0446e-14,6.29877,3.42535,6.9985e-15,5e-05,54847.618,0,0,1,0
2022-08-31 18:15:00,1.09862,1.2853e-13,0.00821,0.59558,22.65527,0.00717,1.16991,1.42022,0.00725,0.57319,1.12172,3.8013e-13,1.2415e-13,8.30517,4.67727,4.4142e-15,5e-05,57079.226,0,0,1,0
2022-08-31 18:20:00,1.21214,1.091e-13,0.00603,0.70205,22.62372,0.00532,1.27235,1.44991,0.00536,0.67585,1.27448,2.8886e-13,1.0036e-13,5.27829,2.89802,9.396e-15,5e-05,55624.012,0,0,1,0
2022-08-31 18:25:00,0.9579,1.6152e-13,0.0077,0.58853,17.55469,0.00686,1.01433,1.46851,0.00694,0.57768,1.05173,3.7522e-13,1.3822e-13,6.28463,3.50647,7.0247e-15,7e-05,44927.066,0,0,1,0
2022-08-31 18:30:00,0.62783,3.2661e-13,0.02196,0.3293,13.52051,0.01907,0.31157,1.69903,0.01904,0.3243,0.65675,9.8219e-13,3.0299e-13,6.59455,3.85359,6.4832e-15,8e-05,45604.59,0,0,1,0
2022-08-31 18:35:00,1.07502,1.3327e-13,0.00838,0.58557,21.89612,0.00732,1.15375,1.41736,0.0074,0.5647,1.10865,3.8971e-13,1.266e-13,6.53815,3.80637,6.5766e-15,7e-05,46051.974,0,0,1,0
2022-08-31 18:40:00,1.17665,1.1464e-13,0.00937,0.56767,25.65524,0.00805,1.26843,1.37502,0.00815,0.54094,1.09634,4.1864e-13,1.2898e-13,6.08873,3.35186,7.4055e-15,7e-05,47307.456,0,0,1,0
2022-08-31 18:45:00,1.1972,1.1138e-13,0.00778,0.6266,25.51588,0.00675,1.27739,1.40323,0.00682,0.59653,1.14062,3.5566e-13,1.2074e-13,5.4662,3.00061,8.8638e-15,6e-05,48063.718,0,0,1,0
2022-08-31 18:50:00,1.02303,1.4475e-13,0.01204,0.48454,24.34679,0.01032,1.13052,1.35455,0.01048,0.46923,0.92262,5.3063e-13,1.7195e-13,6.92963,3.90727,5.9691e-15,7e-05,46699.454,0,0,1,0
2022-08-31 18:55:00,0.22025,1.8716e-12,0.0254,0.19287,20.29105,0.02349,0.19129,1.67239,0.02341,0.20753,0.27166,2.0669e-12,1.3194e-12,0.77696,0.56795,2.2896e-13,0.00034,53624.672,0,0,1,0
2022-08-31 19:00:00,0.07256,1.191e-11,0.05457,0.06634,441.09204,0.02963,0.05159,1.99673,0.01582,0.07358,0.0789,1.1636e-11,1.0359e-11,3.13057,2.5592,2.2442e-14,0.00048,55859.884,0,0,0,0
2022-08-31 19:05:00,0.14521,3.7477e-12,0.01594,0.13398,296.22885,0.0092,0.09399,1.98305,0.00525,0.14445,0.1523,3.7809e-12,3.4616e-12,0.89488,0.64594,1.8092e-13,0.00085,51485.86,0,0,0,0
2022-08-31 19:10:00,0.09875,7.1265e-12,0.08015,0.08154,2.01904,0.07332,0.08758,1.67032,0.07225,0.09443,0.11097,7.6783e-12,5.8674e-12,1.89681,1.55664,5.1728e-14,8e-04,36988.884,0,0,0,0
2022-08-31 19:15:00,0.09395,7.7439e-12,0.08025,0.08262,12.28565,0.07106,0.06271,1.99155,0.06883,0.09235,0.10691,7.9682e-12,6.243e-12,4.802,3.82382,1.1e-14,0.00019,59092.868,0,0,0,0
2022-08-31 19:20:00,0.21417,1.961e-12,0.03091,0.18307,22.87109,0.02841,0.18047,1.67257,0.02828,0.19714,0.26789,2.2514e-12,1.3506e-12,1.44039,0.95397,8.1839e-14,0.00018,41873.268,0,0,0,0
2022-08-31 19:25:00,0.1182,5.2813e-12,0.0617,0.10314,12.44958,0.05524,0.10441,1.67192,0.05532,0.11634,0.14867,5.423e-12,3.6036e-12,3.81906,2.85449,1.6113e-14,0.00019,50815.934,0,0,0,0
2022-08-31 19:30:00,0.14333,3.8298e-12,0.03873,0.12687,32.42143,0.03415,0.08963,1.98934,0.03318,0.14118,0.16366,3.9278e-12,3.0704e-12,4.74139,3.41652,1.1235e-14,0.00015,48377.66,0,0,0,0
2022-08-31 19:35:00,0.13623,4.1684e-12,0.03368,0.12224,31.09401,0.02841,0.08658,1.99186,0.02695,0.13698,0.15082,4.1306e-12,3.5184e-12,4.56562,3.33297,1.1965e-14,0.00017,65088.13,0,0,0,0
2022-08-31 19:40:00,0.15417,3.3919e-12,0.04772,0.131,5.09033,0.04379,0.13307,1.66991,0.04345,0.14322,0.18187,3.835e-12,2.5754e-12,5.45645,3.90498,8.8902e-15,0.00013,56890.366,0,0,0,0
2022-08-31 19:45:00,0.07326,1.1722e-11,0.34019,0.0076,0.01149,0.28737,56.89204,0.32773,0.29773,0.03639,0.08404,3.7628e-11,9.3241e-12,0.3435,0.30324,8.924e-13,0.00283,28134.764,0,0,-1,1
2022-08-31 19:50:00,0.25429,1.4731e-12,0.04756,0.17999,4.20215,0.0435,0.18304,1.67948,0.04342,0.18098,0.30577,2.5965e-12,1.0833e-12,1.34048,0.90039,9.2257e-14,0.00023,51803.38,0,0,0,0
2022-08-31 19:55:00,0.26413,1.3827e-12,0.03324,0.20116,4.02148,0.03073,0.20554,1.67442,0.03065,0.20933,0.32396,2.0372e-12,9.8389e-13,1.21892,0.82562,1.0809e-13,0.00022,40173.362,0,0,0,0
2022-08-31 20:00:00,0.06979,1.271e-11,0.20828,0.05663,2.59106,0.19639,0.05916,1.66932,0.1954,0.06211,0.09469,1.5436e-11,7.6422e-12,0.74577,1.96989,2.4514e-13,0.00712,54621.608,0,0,0,1
2022-08-31 20:05:00,0.08623,8.9331e-12,0.17557,0.06877,4.0459,0.16291,0.07092,1.67362,0.16265,0.07843,0.12239,1.0461e-11,4.9832e-12,4.1051,3.23464,1.4285e-14,0.00023,50450.716,0,0,0,1
2022-08-31 20:10:00,0.07966,1.0194e-11,0.62475,0,0,NA,0.06466,1.66542,0.63868,0.0307,0.06522,4.9942e-11,1.4227e-11,0.07748,0.08388,1.0678e-11,0.38166,40361.474,0,0,0,1
